C_target,C_matched,N,L,D_row,D_c6n,run
1e+18,9.93991502e+17,47775744,2.6184959411621094,3303014400,3467559821.4301662,run-gpt_47M_1024l_3e18flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.0595601792776148e+18,9.94218292e+17,13192320,2.62051773071289,12582912000,12560569230.178366,run-gpt_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.1226677735108159e+18,1.118691748e+18,25165824,2.6138916015625,7235174400,7408802694.744534,run-tensorboard_gpt_25.1M_1024l_3e18flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.189534067370321e+18,1.19147332e+18,13192320,2.615142345428467,14942208000,15052612934.394152,run-gpt_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.2603829296797274e+18,1.269304569e+18,33690624,2.6084370613098145,6134169600,6279217668.987075,run-gpt_25M_1024l_3e18flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.3354515629298972e+18,1.362931098e+18,65728000,2.605386257171631,3303014400,3455988056.8403115,run-gpt_49M_1024l_6e18flops_all0.08ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.4149912974345787e+18,1.414874567e+18,13192320,2.6061272621154785,17773363200,17874977853.27625,run-gpt_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.4992684327860472e+18,1.491432869e+18,33690624,2.6020007133483887,7235174400,7378080763.162277,run-gpt_25M_1024l_3e18flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.5885651294280527e+18,1.588631093e+18,13192320,2.5984883308410645,19975372800,20070150574.981,run-gpt_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.683180353330955e+18,1.687920536e+18,13192320,2.600299835205078,21233664000,21324534981.969307,run-gpt_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
