C_target,C_matched,N,L,D_row,D_c6n,run
2.00700546e+17,1.98578886e+17,13192320,2.673530578613281,2359296000,2508768813.976617,run-gpt_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
6.42244069e+17,6.45381381e+17,13192320,2.6300265789031982,8021606400,8153498664.374424,run-gpt_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.43416963e+17,7.44670825e+17,13192320,2.627596616744995,9279897600,9407883083.996346,run-gpt_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
8.09266371e+17,8.06726727e+17,13192320,2.6135497093200684,10066329600,10191873339.94324,run-gpt_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
8.13265774e+17,8.19137907e+17,13192320,2.615372657775879,10223616000,10348671386.079174,run-gpt_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
8.9360499e+17,8.9360499e+17,13192320,2.626351833343506,11167334400,11289459700.795614,run-gpt_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.747769496e+18,1.762075844e+18,47775744,2.5954179763793945,5976883200,6147037863.676876,run-gpt_47M_1024l_3e18flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.92672061e+18,1.942801572e+18,47775744,2.5949716567993164,6606028800,6777503287.023642,run-gpt_47M_1024l_3e18flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.107355741e+18,2.1235273e+18,47775744,2.5811800956726074,7235174400,7407968710.370406,run-gpt_47M_1024l_3e18flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.32813475e+18,2.354153716e+18,65728000,2.581254005432129,5819596800,5969433919.587796,run-gpt_49M_1024l_6e18flops_all0.08ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.478056543e+18,2.478056543e+18,65728000,2.5717458724975586,6134169600,6283614651.797306,run-gpt_49M_1024l_6e18flops_all0.08ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.620523051e+18,2.64924084e+18,127699968,2.5816874504089355,3303014400,3457637044.9834414,run-gpt_130M_1024l_6e18flops_all0.04ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
