C_target,C_matched,N,L,D_row,D_c6n,run
1e+18,9.96163639e+17,9830400,2.3959109783172607,16672358400,16889167599.14822,run-mlm_10.1M_1024l_1e18flops_all0.09ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.0595601792776148e+18,1.006218375e+18,9830400,2.396082878112793,16986931200,17059637705.485025,run-mlm_10.1M_1024l_1e18flops_all0.09ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.1226677735108159e+18,1.120794519e+18,6291456,2.390648365020752,29412556800,29690915187.19991,run-mlm_6M_1024l_3e18flops_all0.39ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.189534067370321e+18,1.19147332e+18,13192320,2.3898568153381348,14942208000,15052612934.394152,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.2603829296797274e+18,1.265940402e+18,13192320,2.387721538543701,15885926400,15993401236.47698,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.3354515629298972e+18,1.340407485e+18,13192320,2.386351585388184,16829644800,16934189551.193422,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.4149912974345787e+18,1.414874567e+18,13192320,2.378601551055908,17773363200,17874977853.27625,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.4992684327860472e+18,1.50175283e+18,13192320,2.3789868354797363,18874368000,18972564214.128624,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.5885651294280527e+18,1.588631093e+18,13192320,2.371176481246948,19975372800,20070150574.981,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.683180353330955e+18,1.687920536e+18,13192320,2.369814872741699,21233664000,21324534981.969307,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.783430876931913e+18,1.78720998e+18,13192320,2.365541934967041,22491955200,22578919401.59123,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.8896523396912115e+18,1.886499423e+18,13192320,2.3666768074035645,23750246400,23833303808.579536,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.0022003718155845e+18,1.998200047e+18,13192320,2.3671414852142334,25165824000,25244486274.33739,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.1214517849106276e+18,2.122311851e+18,13192320,2.3632616996765137,26738688000,26812466786.231182,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.2478058335487299e+18,2.246423655e+18,13192320,2.3509318828582764,28311552000,28380447298.12497,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.381685551976161e+18,2.38294664e+18,13192320,2.3545947074890137,30041702400,30105225868.788303,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.523539170434766e+18,2.519469624e+18,13192320,2.3445165157318115,31771852800,31830004426.818027,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.6738416158399437e+18,2.668403789e+18,13192320,2.347973585128784,33659289600,33711581043.6173,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.83309610183933e+18,2.829749135e+18,13192320,2.3548226356506348,35704012800,35749955719.18611,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
3.001835813575592e+18,3.00350566e+18,13192320,2.341391324996948,37906022400,37945128428.25725,run-mlm_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
3.1806256927941187e+18,2.990598033e+18,13192320,2.343022346496582,37748736000,37782058462.8026,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
3.3700643292719247e+18,3.375841073e+18,13192320,2.340877056121826,42624614400,42649069976.57223,run-mlm_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
3.57078596490047e+18,3.57441996e+18,13192320,2.337208747863769,45141196800,45157838803.18246,run-mlm_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
3.7834626171319327e+18,3.784510384e+18,25165824,2.342576742172241,24851251200,25063821898.566353,run-mlm_25.1M_1024l_1e19flops_all0.3ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
4.008806328898465e+18,4.008811274e+18,13192320,2.3338546752929688,50646220800,50645770594.810715,run-mlm_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
4.2475715525368945e+18,4.244623702e+18,13192320,2.335419178009033,53634662400,53624933572.462364,run-mlm_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
4.500557675700506e+18,4.518143191e+18,47775744,2.327753782272339,15571353600,15761635552.27244,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
4.768611697714475e+18,4.789231783e+18,47775744,2.3227977752685547,16515072000,16707333687.29259,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
5.05263106533568e+18,5.060320374e+18,47775744,2.319901943206787,17458790400,17653031818.824215,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
5.353566677410719e+18,5.349218759e+18,13192320,2.316048383712769,67633152000,67579960146.00414,run-mlm_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
5.672426068491989e+18,5.67190945e+18,13192320,2.3178186416625977,71722598400,71656709484.50816,run-mlm_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
6.010276782070388e+18,6.009130445e+18,47775744,2.309469699859619,20761804800,20962975287.906208,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
6.368249944718586e+18,6.378255463e+18,33690624,2.3083784580230717,31457280000,31553068805.334885,run-mlm_25M_1024l_1e19flops_all0.25ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
6.747544053110687e+18,6.732033355e+18,47775744,2.301131248474121,23278387200,23484836974.31623,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.149428986597591e+18,7.139838205e+18,33690624,2.29555892944336,35232153600,35320599409.695305,run-mlm_25M_1024l_1e19flops_all0.25ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.57525025877192e+18,7.584094805e+18,33690624,2.296293258666992,37434163200,37518325598.045715,run-mlm_25M_1024l_1e19flops_all0.25ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
8.026433522257174e+18,8.028050864e+18,84934656,2.289522409439087,15571353600,15753386666.254742,run-mlm_85M_1024l_1e19flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
8.504489341802669e+18,8.509733916e+18,84934656,2.285472869873047,16515072000,16698589866.543993,run-mlm_85M_1024l_1e19flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.011018251665037e+18,8.991104951e+18,47775744,2.281665802001953,31142707200,31365654752.19671,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.547716114208066e+18,9.533282134e+18,47775744,2.2843596935272217,33030144000,33257051018.748486,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.011637979766207e+19,1.0025157323e+19,47775744,2.277523994445801,34760294400,34972967743.49204,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.0718913192051263e+19,1.0025157323e+19,47775744,2.277523994445801,34760294400,34972967743.49204,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.1357333583431074e+19,1.1340539411e+19,47775744,2.2811155319213867,39321600000,39561705241.75057,run-mlm_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.2033778407775906e+19,1.2042076296e+19,84934656,2.2722411155700684,23435673600,23630079999.382114,run-mlm_85M_all0.75ep_noreg_tk150b_cl1024_bsz0.5m_scratch-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.2750512407130128e+19,1.2761991198e+19,65728000,2.2737810611724854,32243712000,32360615460.686466,run-mlm_49M_1024l_3e19flops_all0.38ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.3509935211980251e+19,1.3509248143e+19,47775744,2.2687432765960693,46871347200,47127290307.95767,run-mlm_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.4314589375234814e+19,1.4322513918e+19,47775744,2.265398979187012,49702502400,49964384709.529594,run-mlm_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.516716888470924e+19,1.5180961124e+19,47775744,2.259526491165161,52690944000,52959095463.449684,run-mlm_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.6070528182616383e+19,1.6045416118e+19,65728000,2.2517824172973637,40579891200,40686404875.64914,run-mlm_49M_1024l_3e19flops_all0.38ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.7027691722258979e+19,1.705954648e+19,106168320,2.24341082572937,26581401600,26780660621.42329,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.8041864093920754e+19,1.8063049214e+19,106168320,2.2421963214874268,28154265600,28355993598.969387,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.9116440753857036e+19,1.9066551948e+19,106168320,2.24337100982666,29727129600,29931326576.515484,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.0255019392306663e+19,2.0241281499e+19,47775744,2.237121105194092,70307020800,70612127285.76242,run-mlm_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.1461411978584015e+19,2.1435189099e+19,65728000,2.234238386154175,54263808000,54353266743.24489,run-mlm_49M_1024l_3e19flops_all0.38ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
