C_target,C_matched,N,L,D_row,D_c6n,run
6.42244069e+17,6.45381381e+17,13192320,2.40564489364624,8021606400,8153498664.374424,run-mlm_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.29850127e+17,7.26175363e+17,9830400,2.4021546840667725,12111052800,12311729651.557076,run-mlm_10.1M_1024l_1e18flops_all0.09ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.43416963e+17,7.44795244e+17,9830400,2.401373863220215,12425625600,12627415025.499132,run-mlm_10.1M_1024l_1e18flops_all0.09ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
8.09266371e+17,8.06726727e+17,13192320,2.393739938735962,10066329600,10191873339.94324,run-mlm_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
8.9360499e+17,8.94250946e+17,6291456,2.396369695663452,23435673600,23689559989.505344,run-mlm_6M_1024l_1e18flops_all0.13ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.30994056e+17,9.30838531e+17,13192320,2.389019012451172,11639193600,11759853851.837029,run-mlm_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.53867676e+17,9.55660892e+17,13192320,2.39597487449646,11953766400,12073449956.742508,run-mlm_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.747769496e+18,1.749976438e+18,13192320,2.3692069053649902,22020096000,22108525237.916203,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.107355741e+18,2.10990067e+18,13192320,2.350959300994873,26581401600,26655668727.461636,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.32813475e+18,2.333301918e+18,13192320,2.350370407104492,29412556800,29478033658.977345,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.478056543e+18,2.482236083e+18,13192320,2.354708671569824,31299993600,31359610275.776615,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.729004825e+18,2.730459691e+18,13192320,2.3500723838806152,34445721600,34495571299.56419,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.808630348e+18,2.804926774e+18,13192320,2.3491904735565186,35389440000,35436359614.28063,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.879393856e+18,2.879393856e+18,13192320,2.3326916694641118,36333158400,36377147916.36346,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.962951469e+18,2.966272119e+18,13192320,2.3410120010375977,37434163200,37474734277.215836,run-mlm_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.702596754e+18,7.680843426e+18,47775744,2.2816052436828613,26581401600,26794780443.398224,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
8.083402636e+18,8.108331372e+18,84934656,2.2994346618652344,15728640000,15910920531.661423,run-mlm_85M_1024l_1e19flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.031502864e+18,8.991416967e+18,84934656,2.2825331687927246,17458790400,17643793064.870953,run-mlm_85M_1024l_1e19flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.13187488e+18,9.151977985e+18,84934656,2.285645008087158,17773363200,17958860799.6089,run-mlm_85M_1024l_1e19flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.312539002e+18,9.307374975e+18,47775744,2.276816844940185,32243712000,32468969243.053547,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.478566278e+18,9.488100703e+18,47775744,2.2757489681243896,32872857600,33099434666.400314,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.623644998e+18,9.623644998e+18,47775744,2.281385660171509,33344716800,33572283730.421867,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.710179959e+18,9.714007862e+18,47775744,2.2845706939697266,33659289600,33887516442.09525,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.806404266e+18,9.804370726e+18,47775744,2.272056102752685,33973862400,34202749153.76863,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.84206607e+18,9.849552158e+18,47775744,2.2831263542175293,34131148800,34360365509.60532,run-mlm_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
1.2443478839e+19,1.2424893777e+19,47775744,2.2766575813293457,43096473600,43344497774.85412,run-mlm_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.1838866699e+19,2.1822631617e+19,47775744,2.2308349609375,75812044800,76128699733.06958,run-mlm_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.629577827e+19,2.6267399359e+19,65728000,2.2068114280700684,66532147200,66606315317.16569,run-mlm_49M_1024l_3e19flops_all0.38ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.6741498418e+19,2.6747407696e+19,47775744,2.216719388961792,92956262400,93308882487.87222,run-mlm_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.7387010682e+19,2.7395624642e+19,106168320,2.211240768432617,42781900800,43006590292.97377,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.8182674055e+19,2.8198426829e+19,106168320,2.213075399398804,44040192000,44266856674.696686,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.8692549237e+19,2.8700178196e+19,106168320,2.2071895599365234,44826624000,45054523163.46973,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.9021229203e+19,2.9006479292e+19,47775744,2.2147789001464844,100820582400,101189700265.75272,run-mlm_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.9201929563e+19,2.9201929563e+19,106168320,2.212405204772949,45613056000,45842189652.24278,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.9426921452e+19,2.9382489317e+19,127699968,2.2192602157592773,38220595200,38348338136.10144,run-mlm_130M_1024l_3e19flops_all0.2ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.9574796478e+19,2.9603330657e+19,106168320,2.1995675563812256,46242201600,46472322843.88915,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.9774563634e+19,2.9804031204e+19,106168320,2.2072134017944336,46556774400,46787389439.71233,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
2.9823845983e+19,2.9804031204e+19,106168320,2.2072134017944336,46556774400,46787389439.71233,run-mlm_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
4.9612906429e+19,4.9612906429e+19,170233344,2.179612874984741,48444211200,48573431878.10883,run-mlm_170M_all0.25ep_noreg_tk200b_cl1024_bsz0.5m_scratch-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.084729303e+19,7.080676937e+19,170233344,2.1513233184814453,69206016000,69323247438.13605,run-mlm_170M_1024l_1e20flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.5063636709e+19,7.1750445491e+19,106168320,2.153855800628662,112302489600,112636307910.24416,run-mlm_106M_1024l_1e20flops_all0.78ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.5865080666e+19,7.5864624057e+19,127699968,2.1470863819122314,98933145600,99014151745.91116,run-mlm_130M_1024l_1e20flops_all0.65ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
7.9841718693e+19,7.9838485318e+19,127699968,2.143967390060425,104123596800,104200607314.69147,run-mlm_130M_1024l_1e20flops_all0.65ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.289690537e+19,9.2963989717e+19,170233344,2.1283888816833496,90911539200,91016236432.30945,run-mlm_170M_1024l_1e20flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.433529874e+19,9.42888899e+19,127699968,2.1281683444976807,122997964800,123060445742.11118,run-mlm_130M_1024l_1e20flops_all0.65ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.5674960974e+19,9.5693502369e+19,170233344,2.1208653450012207,93585408000,93688561164.02202,run-mlm_170M_1024l_1e20flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.6269289939e+19,9.6345420608e+19,231211008,2.1229825019836426,69206016000,69449851199.70297,run-mlm_230M_1024l_1e20flops_all0.36ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.6937931767e+19,9.697797891e+19,170233344,2.1182188987731934,94843699200,94946125742.55724,run-mlm_170M_1024l_1e20flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.7566225556e+19,9.7656242657e+19,231211008,2.1263744831085205,70149734400,70394747134.32906,run-mlm_230M_1024l_1e20flops_all0.36ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.8311653682e+19,9.826275116e+19,127699968,2.1276068687438965,128188416000,128246901309.58635,run-mlm_130M_1024l_1e20flops_all0.65ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
9.8583574588e+19,9.8583574588e+19,170233344,2.130772113800049,96416563200,96518081467.43958,run-mlm_170M_1024l_1e20flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
