objective,budget_flops,model_size_label,N_params,final_validation_loss
CLM,1e+18,6M,6291456,2.643
CLM,1e+18,13M,13192320,2.624
CLM,1e+18,25M,25165824,2.6239
CLM,1e+18,34M,33690624,2.6233
CLM,1e+18,47M,47775744,2.64
CLM,1e+18,65M,65728000,2.647
CLM,1e+18,85M,84934656,2.67
CLM,3e+18,25M,25165824,2.591
CLM,3e+18,34M,33690624,2.585
CLM,3e+18,47M,47775744,2.583
CLM,3e+18,65M,65728000,2.5829
CLM,3e+18,85M,84934656,2.593
CLM,3e+18,106M,106168320,2.612
CLM,3e+18,127M,127699968,2.628
CLM,3e+18,154M,154448288,2.638
CLM,1e+19,34M,33690624,2.534
CLM,1e+19,47M,47775744,2.523
CLM,1e+19,65M,65728000,2.51
CLM,1e+19,85M,84934656,2.509
CLM,1e+19,106M,106168320,2.507
CLM,1e+19,127M,127699968,2.5069
CLM,1e+19,154M,154448288,2.514
CLM,1e+19,170M,170233344,2.519
CLM,1e+19,230M,231211008,2.533
CLM,1e+19,300M,302426080,2.568
CLM,3e+19,47M,47775744,2.488
CLM,3e+19,65M,65728000,2.475
CLM,3e+19,85M,84934656,2.463
CLM,3e+19,106M,106168320,2.454
CLM,3e+19,127M,127699968,2.448
CLM,3e+19,154M,154448288,2.447
CLM,3e+19,170M,170233344,2.445
CLM,3e+19,200M,202309632,2.445
CLM,3e+19,230M,231211008,2.444
CLM,3e+19,300M,302426080,2.447
CLM,3e+19,393M,393216000,2.458
CLM,3e+19,470M,472435184,2.469
CLM,3e+19,550M,550502400,2.483
CLM,1e+20,85M,84934656,2.427
CLM,1e+20,106M,106168320,2.41
CLM,1e+20,127M,127699968,2.395
CLM,1e+20,154M,154448288,2.39
CLM,1e+20,170M,170233344,2.384
CLM,1e+20,230M,231211008,2.368
CLM,1e+20,300M,302426080,2.365
CLM,1e+20,393M,393216000,2.363
CLM,1e+20,470M,472435184,2.362
CLM,1e+20,550M,550502400,2.365
CLM,1e+20,680M,680205312,2.371
CLM,1e+20,880M,886308864,2.385
CLM,1e+20,1.2B,1208881136,2.42
CLM,1e+20,1.5B,1528823808,2.442
CLM,3e+20,300M,302426080,2.317
CLM,3e+20,393M,393216000,2.305
CLM,3e+20,470M,472435184,2.301
CLM,3e+20,550M,550502400,2.296
CLM,3e+20,680M,680205312,2.295
CLM,3e+20,880M,886308864,2.294
CLM,3e+20,1.2B,1208881136,2.306
CLM,3e+20,1.5B,1528823808,2.321
CLM,3e+20,1.7B,1784851968,2.331
CLM,1e+21,880M,886308864,2.212
CLM,1e+21,1.2B,1208881136,2.187
CLM,1e+21,1.5B,1528823808,2.181
CLM,1e+21,1.7B,1784851968,2.18
CLM,1e+21,2B,2044723200,2.186
CLM,1e+21,2.4B,2359296000,2.183
CLM,1e+21,2.8B,2834283904,2.2
CLM,1e+21,3.4B,3425697792,2.203
CLM,1e+21,4B,4076863488,2.228
CLM,1e+21,5B,4917322640,2.242
CLM,1e+21,6B,6165626880,2.267
CLM,1e+21,7B,7247758312,2.293
MLM,1e+18,3M,3538944,2.407
MLM,1e+18,6M,6291456,2.401
MLM,1e+18,10M,9830400,2.4011
MLM,1e+18,13M,13192320,2.41
MLM,1e+18,25M,25165824,2.428
MLM,1e+18,34M,33690624,2.431
MLM,1e+18,47M,47775744,2.433
MLM,1e+18,65M,65728000,2.454
MLM,1e+18,85M,84934656,2.463
MLM,3e+18,6M,6291456,2.362
MLM,3e+18,10M,9830400,2.356
MLM,3e+18,13M,13192320,2.355
MLM,3e+18,15M,15192311,2.361
MLM,3e+18,25M,25165824,2.366
MLM,3e+18,34M,33690624,2.371
MLM,3e+18,47M,47775744,2.38
MLM,3e+18,65M,65728000,2.387
MLM,3e+18,85M,84934656,2.392
MLM,3e+18,106M,106168320,2.408
MLM,3e+18,154M,154448288,2.422
MLM,1e+19,25M,25165824,2.295
MLM,1e+19,34M,33690624,2.28
MLM,1e+19,47M,47775744,2.281
MLM,1e+19,65M,65728000,2.29
MLM,1e+19,85M,84934656,2.287
MLM,1e+19,106M,106168320,2.292
MLM,1e+19,127M,127699968,2.309
MLM,1e+19,154M,154448288,2.329
MLM,1e+19,170M,170233344,2.333
MLM,1e+19,230M,231211008,2.347
MLM,1e+19,300M,302426080,2.374
MLM,3e+19,47M,47775744,2.215
MLM,3e+19,85M,84934656,2.213
MLM,3e+19,106M,106168320,2.215
MLM,3e+19,127M,127699968,2.219
MLM,3e+19,154M,154448288,2.224
MLM,3e+19,170M,170233344,2.226
MLM,3e+19,300M,302426080,2.26
MLM,3e+19,393M,393216000,2.289
MLM,3e+19,470M,472435184,2.311
MLM,1e+20,154M,154448288,2.143
MLM,1e+20,170M,170233344,2.135
MLM,1e+20,200M,202309632,2.131
MLM,1e+20,230M,231211008,2.133
MLM,1e+20,300M,302426080,2.14
MLM,1e+20,393M,393216000,2.144
MLM,1e+20,470M,472435184,2.148
MLM,1e+20,550M,550502400,2.158
MLM,1e+20,680M,680205312,2.188
MLM,1e+20,880M,886308864,2.219
MLM,3e+20,300M,302426080,2.064
MLM,3e+20,393M,393216000,2.0591
MLM,3e+20,470M,472435184,2.059
MLM,3e+20,550M,550502400,2.06
MLM,3e+20,680M,680205312,2.076
MLM,3e+20,880M,886308864,2.109
MLM,3e+20,1.2B,1208881136,2.127
MLM,3e+20,1.5B,1528823808,2.131
MLM,3e+20,1.7B,1784851968,2.172
MLM,3e+20,2.4B,2359296000,2.182
MLM,3e+20,2.8B,2834283904,2.214
MLM,1e+21,880M,886308864,1.989
MLM,1e+21,1.2B,1208881136,1.979
MLM,1e+21,1.5B,1528823808,1.986
MLM,1e+21,1.7B,1784851968,2.004
MLM,1e+21,2B,2044723200,2.0
MLM,1e+21,2.4B,2359296000,2.007
MLM,1e+21,2.8B,2834283904,2.027
MLM,1e+21,3.4B,3425697792,2.052
MLM,1e+21,4B,4076863488,2.068
MLM,1e+21,5B,4917322640,2.118
MLM,1e+21,7B,7247758312,2.174
