objective,directory,run_file,N_params_no_embed,C_final_flops,D_final_tokens_C_over_6N,epoch_label,batch_label,L_final,L_min,n_logged_points,tensorboard_capped_1000,in_released_notebook_fit,content_sha256_12,identical_content_as,known_issue
CLM,1.2B_flops,run-gpt_1b_1024_lr3.0_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1208881136.0,3.62580254521e+20,49988407148.21665,0.25,,2.302921772003174,2.279895067214966,159,False,True,3f5f79f5e7b9,,
CLM,1.2B_flops,run-gpt_1b_1024_lr3.0_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1208881136.0,7.25168113017e+20,99977862645.29816,0.5,,2.2393641471862797,2.225668668746948,318,False,True,fed5164e53c4,,
CLM,1.2B_flops,run-gpt_1b_1024_lr3.0_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1208881136.0,1.087755971514e+21,149967318142.51752,0.75,,2.2072229385375977,2.1903018951416016,477,False,True,d7417cb4fb16,,
CLM,1.2B_flops,run-gpt_1b_1024_lr3.0_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1208881136.0,1.450336226038e+21,199955725291.1478,1.0,,2.181856870651245,2.1760220527648926,636,False,True,d3281553f0c8,,
CLM,1.2B_flops,run-gpt_1b_1024_lr3.0_noreg_ur50_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1208881136.0,1.450336226038e+21,199955725291.1478,,,2.272873878479004,2.251505136489868,636,False,True,f3117c081e71,,
CLM,1.2B_flops,run-gpt_1b_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1208881136.0,8.4404102619e+19,11636669658.893576,1.0,,2.4550352096557617,2.4550352096557617,37,False,True,5aebe44aec1d,,
CLM,1.2B_flops,run-gpt_1b_1024l_1e20flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1208881136.0,1.00068287429e+20,13796267811.753937,0.07,,2.447370767593384,2.439171552658081,44,False,True,d0f409110d1b,,
CLM,1.2B_flops,run-gpt_1b_1024l_3e20flops_all0.21ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1208881136.0,3.00220070234e+20,41390900132.57791,0.21,,2.305758476257324,2.305758476257324,132,False,True,8ac7fb29bed7,,
CLM,1.2B_flops,run-tensorboard_gpt_1b_1024l_1e20flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1208881136.0,1.00068287429e+20,13796267811.753937,0.07,,2.447370767593384,2.439171552658081,44,False,True,d0f409110d1b,1.2B_flops/run-gpt_1b_1024l_1e20flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,
CLM,1.5B_flops,run-gpt_1.5b_1024l_1e20flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1528823808.0,1.00036731229e+20,10905631146.585773,0.05,,2.428196430206299,2.4273698329925537,35,False,True,4d119f2b3782,,
CLM,1.5B_flops,run-gpt_1.5b_1024l_1e21flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1528823808.0,1.000367312297e+21,109056311466.62083,0.5,,2.214428186416626,2.19406795501709,347,False,True,1a252b6a326a,,
CLM,1.5B_flops,run-gpt_1.5b_1024l_3e20flops_all0.16ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1528823808.0,3.00110193689e+20,32716893439.975353,0.16,,2.324634075164795,2.313063144683838,104,False,True,a144dd70fbf2,,
CLM,1.7B_flops,run-gpt_1.7b_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1784851968.0,1.070729387369e+21,99983024415.63228,0.5,,2.203841209411621,2.1907432079315186,318,False,True,caadfb005ca7,,
CLM,1.7B_flops,run-gpt_1.7b_1024l_3e20flops_all0.14ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,1784851968.0,2.99795695592e+20,27994450050.287495,0.14,,2.324178457260132,2.318321228027344,90,False,True,a5fb41f822c0,,
CLM,106M_flops,run-tensorboard_gpt_106M_1024l_1e18flops_all0.01ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,106168320.0,1.001495728e+18,1572182310.7558513,0.01,,2.8796300888061523,2.8779220581054688,10,False,True,fe9eb37a9593,,
CLM,106M_flops,run-tensorboard_gpt_106M_1024l_1e19flops_all0.08ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,106168320.0,1.0016629791e+19,15724448672.636057,0.08,,2.5026392936706543,2.4999542236328125,100,False,True,9267c0f0f8f6,,
CLM,106M_flops,run-tensorboard_gpt_106M_1024l_1e20flops_all0.78ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,106168320.0,1.00167301415e+20,157246062062.89536,0.78,,2.4198288917541504,2.3910257816314697,999,False,True,bceb0c6e7b07,,
CLM,106M_flops,run-tensorboard_gpt_106M_1024l_3e18flops_all0.02ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,106168320.0,3.004821686e+18,4717072044.969095,0.02,,2.6152045726776123,2.607640027999878,30,False,True,40c12e96f700,,
CLM,106M_flops,run-tensorboard_gpt_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,106168320.0,3.0050223874e+19,47173871129.03987,0.24,,2.460880756378174,2.4357781410217285,300,False,True,478d678e4153,,
CLM,127M_flops,run-gpt_127M_bsz0.5M_lr5.0_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968.0,1.32117857607e+20,172432642539.89478,0.75,0.5M,2.375488519668579,2.357254981994629,823,False,True,0de90882e017,,
CLM,127M_flops,run-gpt_127M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968.0,2.0412663841e+20,266414369044.06012,1.0,0.5M,2.355443239212036,2.341409683227539,1000,True,True,c0a0358b035b,,TensorBoard export capped at 1000 points; row index is not the evaluation index
CLM,127M_flops,run-gpt_130M_1024l_1e19flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968.0,1.002938358e+19,13089775637.218641,0.07,,2.51560115814209,2.50635290145874,84,False,True,60ce6514e23e,,
CLM,127M_flops,run-gpt_130M_1024l_1e20flops_all0.65ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968.0,1.00294638604e+20,130898804145.87627,0.65,,2.396822452545166,2.378191471099853,833,False,True,35d86b0f4289,,
CLM,127M_flops,run-gpt_130M_1024l_3e18flops_all0.02ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968.0,3.000867351e+18,3916559779.4041734,0.02,,2.6283209323883057,2.609921932220459,25,False,True,b2fc2ac95237,,
CLM,127M_flops,run-gpt_130M_1024l_3e19flops_all0.2ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968.0,3.0011884717e+19,39169788877.0549,0.2,,2.451277732849121,2.433905124664306,250,False,True,089e712e943f,,
CLM,127M_flops,run-gpt_130M_1024l_6e18flops_all0.04ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968.0,5.9945095e+18,7823689639.974433,0.04,,2.551531314849853,2.5390524864196777,50,False,True,4c092c0d1a94,,
