objective,group,run,tag,file
CLM,gpt_valid/approach3_flops/1.2B_flops,gpt_1b_1024_lr3.0_noreg_all0.25ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1b_1024_lr3.0_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.2B_flops,gpt_1b_1024_lr3.0_noreg_all0.5ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1b_1024_lr3.0_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.2B_flops,gpt_1b_1024_lr3.0_noreg_all0.75ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1b_1024_lr3.0_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.2B_flops,gpt_1b_1024_lr3.0_noreg_all1ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1b_1024_lr3.0_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.2B_flops,gpt_1b_1024_lr3.0_noreg_ur50_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1b_1024_lr3.0_noreg_ur50_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.2B_flops,gpt_1b_1024_noreg_all1ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1b_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.2B_flops,gpt_1b_1024l_1e20flops_all0.07ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1b_1024l_1e20flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.2B_flops,gpt_1b_1024l_3e20flops_all0.21ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1b_1024l_3e20flops_all0.21ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.2B_flops,tensorboard_gpt_1b_1024l_1e20flops_all0.07ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_1b_1024l_1e20flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.5B_flops,gpt_1.5b_1024l_1e20flops_all0.05ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1.5b_1024l_1e20flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.5B_flops,gpt_1.5b_1024l_1e21flops_all0.5ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1.5b_1024l_1e21flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.5B_flops,gpt_1.5b_1024l_3e20flops_all0.16ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1.5b_1024l_3e20flops_all0.16ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.7B_flops,gpt_1.7b_1024_noreg_all0.5ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1.7b_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/1.7B_flops,gpt_1.7b_1024l_3e20flops_all0.14ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_1.7b_1024l_3e20flops_all0.14ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
